zip_code,county_name,state_code,state_name,city_name
"35462","Greene County","AL","Alabama","Eutaw"
"35502","Walker County","AL","Alabama","Jasper"
"35541","Winston County","AL","Alabama","Arley"
"35545","Fayette County","AL","Alabama","Belk"
"35548","Marion County","AL","Alabama","Brilliant"
"35550","Walker County","AL","Alabama","Cordova"
"35553","Winston County","AL","Alabama","Double Springs"
"35559","Fayette County","AL","Alabama","Glen Allen"
"35564","Marion County","AL","Alabama","Hackleburg"
"35570","Marion County","AL","Alabama","Hamilton"
"35573","Walker County","AL","Alabama","Kansas"
"35577","Winston County","AL","Alabama","Natural Bridge"
"35580","Walker County","AL","Alabama","Parrish"
"35586","Lamar County","AL","Alabama","Sulligent"
"35587","Walker County","AL","Alabama","Townley"
"35592","Lamar County","AL","Alabama","Vernon"
"35602","Morgan County","AL","Alabama","Decatur"
"35603","Morgan County","AL","Alabama","Decatur"
"35611","Limestone County","AL","Alabama","Athens"
"35613","Limestone County","AL","Alabama","Athens"
"35618","Lawrence County","AL","Alabama","North Courtland"
"35620","Limestone County","AL","Alabama","Elkmont"
"35632","Lauderdale County","AL","Alabama","Florence"
"35633","Lauderdale County","AL","Alabama","Florence"
"35640","Morgan County","AL","Alabama","Hartselle"
"35645","Lauderdale County","AL","Alabama","Killen"
"35646","Colbert County","AL","Alabama","Leighton"
"35647","Limestone County","AL","Alabama","Lester"
"35648","Lauderdale County","AL","Alabama","Lexington"
"35649","Limestone County","AL","Alabama","Mooresville"
"35662","Colbert County","AL","Alabama","Muscle Shoals"
"35670","Morgan County","AL","Alabama","Somerville"
"35671","Limestone County","AL","Alabama","Tanner"
"35674","Colbert County","AL","Alabama","Tuscumbia"
"35677","Lauderdale County","AL","Alabama","Waterloo"
"35740","Jackson County","AL","Alabama","Bridgeport"
"35741","Madison County","AL","Alabama","Brownsboro"
"35742","Limestone County","AL","Alabama","Capshaw"
"35745","Jackson County","AL","Alabama","Estillfork"
"35746","Jackson County","AL","Alabama","Fackler"
"35747","Marshall County","AL","Alabama","Grant"
"35750","Madison County","AL","Alabama","Hazel Green"
"35751","Jackson County","AL","Alabama","Hollytree"
"35752","Jackson County","AL","Alabama","Hollywood"
"35759","Madison County","AL","Alabama","Meridianville"
"35761","Madison County","AL","Alabama","New Market"
"35762","Madison County","AL","Alabama","Huntsville"
"35763","Madison County","AL","Alabama",""
"35764","Jackson County","AL","Alabama","Paint Rock"
"35766","Jackson County","AL","Alabama","Princeton"
"35768","Jackson County","AL","Alabama","Scottsboro"
"35772","Jackson County","AL","Alabama","Stevenson"
"35774","Jackson County","AL","Alabama","Trenton"
"35801","Madison County","AL","Alabama","Huntsville"
"35802","Madison County","AL","Alabama","Huntsville"
"35803","Madison County","AL","Alabama","Huntsville"
"35804","Madison County","AL","Alabama","Huntsville"
"35805","Madison County","AL","Alabama","Huntsville"
"35806","Madison County","AL","Alabama","Huntsville"
"35807","Madison County","AL","Alabama","Huntsville"
"35808","Madison County","AL","Alabama","Huntsville"
"35809","Madison County","AL","Alabama","Huntsville"
"35810","Madison County","AL","Alabama","Huntsville"
"35811","Madison County","AL","Alabama","Huntsville"
"35812","Madison County","AL","Alabama","Huntsville"
"35813","Madison County","AL","Alabama","Huntsville"
"35814","Madison County","AL","Alabama","Huntsville"
"35815","Madison County","AL","Alabama","Huntsville"
"35816","Madison County","AL","Alabama","Huntsville"
"35824","Madison County","AL","Alabama","Huntsville"
"35896","Madison County","AL","Alabama","Huntsville"
"35902","Etowah County","AL","Alabama","Gadsden"
"35904","Etowah County","AL","Alabama","Gadsden"
"35907","Etowah County","AL","Alabama","Gadsden"
"35950","Marshall County","AL","Alabama","Albertville"
"35953","St. Clair County","AL","Alabama","Ashville"
"35956","Etowah County","AL","Alabama","Sardis City"
"35958","Jackson County","AL","Alabama","Bryant"
"35959","Cherokee County","AL","Alabama","Cedar Bluff"
"35960","Cherokee County","AL","Alabama","Centre"
"35963","DeKalb County","AL","Alabama","Dawson"
"35968","DeKalb County","AL","Alabama","Fort Payne"
"35971","DeKalb County","AL","Alabama","Fyffe"
"35973","Cherokee County","AL","Alabama","Gaylesville"
"35974","DeKalb County","AL","Alabama","Geraldine"
"35981","DeKalb County","AL","Alabama","Ider"
"35983","Cherokee County","AL","Alabama","SANDROCK"
"35986","DeKalb County","AL","Alabama","Rainsville"
"35987","St. Clair County","AL","Alabama","Steele"
"35988","DeKalb County","AL","Alabama","Sylvania"
"35989","DeKalb County","AL","Alabama","Valley Head"
"35990","Etowah County","AL","Alabama","Walnut Grove"
"36008","Autauga County","AL","Alabama","Booth"
"36013","Montgomery County","AL","Alabama","Cecil"
"36016","Barbour County","AL","Alabama","Clayton"
"36017","Barbour County","AL","Alabama","Clio"
"36020","Elmore County","AL","Alabama","Coosada"
"36024","Elmore County","AL","Alabama","Eclectic"
"36025","Elmore County","AL","Alabama","Elmore"
"36031","Macon County","AL","Alabama","Fort Davis"
"36034","Crenshaw County","AL","Alabama","Glenwood"
"36038","Covington County","AL","Alabama","Gantt"
"36040","Lowndes County","AL","Alabama","Gordonville"
"36041","Crenshaw County","AL","Alabama","Highland Home"
"36049","Crenshaw County","AL","Alabama","Luverne"
"36057","Montgomery County","AL","Alabama","Mount Meigs"
"36067","Autauga County","AL","Alabama","Prattville"
"36068","Autauga County","AL","Alabama","Prattville"
"36072","Barbour County","AL","Alabama","Eufaula"
"36082","Pike County","AL","Alabama","Troy"
"36083","Macon County","AL","Alabama","Tuskegee"
"36087","Macon County","AL","Alabama","Tuskegee"
"36088","Macon County","AL","Alabama","Tuskegee"
"36089","Bullock County","AL","Alabama","Union Springs"
"36092","Elmore County","AL","Alabama","Wetumpka"
"36093","Elmore County","AL","Alabama","Wetumpka"
"36101","Montgomery County","AL","Alabama","Montgomery"
"36102","Montgomery County","AL","Alabama","Montgomery"
"36103","Montgomery County","AL","Alabama","Montgomery"
"36104","Montgomery County","AL","Alabama","Montgomery"
"36105","Montgomery County","AL","Alabama","Montgomery"
"36106","Montgomery County","AL","Alabama","Montgomery"
"36107","Montgomery County","AL","Alabama","Montgomery"
"36109","Montgomery County","AL","Alabama","Montgomery"
"36111","Montgomery County","AL","Alabama","Montgomery"
"36112","Montgomery County","AL","Alabama","Montgomery"
"36113","Montgomery County","AL","Alabama","Montgomery"
"36114","Montgomery County","AL","Alabama","Montgomery"
"36115","Montgomery County","AL","Alabama","Montgomery"
"36116","Montgomery County","AL","Alabama","Montgomery"
"36117","Montgomery County","AL","Alabama","Montgomery"
"36119","Montgomery County","AL","Alabama","Montgomery"
"36120","Montgomery County","AL","Alabama","Montgomery"
"36121","Montgomery County","AL","Alabama","Montgomery"
"36123","Montgomery County","AL","Alabama","Montgomery"
"36124","Montgomery County","AL","Alabama","Montgomery"
"36125","Montgomery County","AL","Alabama","Montgomery"
"36130","Montgomery County","AL","Alabama","Montgomery"
"36131","Montgomery County","AL","Alabama","Montgomery"
"36201","Calhoun County","AL","Alabama","Anniston"
"36202","Calhoun County","AL","Alabama","Anniston"
"36204","Calhoun County","AL","Alabama","Anniston"
"36205","Calhoun County","AL","Alabama","Anniston"
"36206","Calhoun County","AL","Alabama","Anniston"
"36250","Calhoun County","AL","Alabama","Alexandria"
"36257","Calhoun County","AL","Alabama","Oxford"
"36262","Cleburne County","AL","Alabama","Fruithurst"
"36263","Randolph County","AL","Alabama","Graham"
"36265","Calhoun County","AL","Alabama","Jacksonville"
"36267","Clay County","AL","Alabama","Millerville"
"36269","Cleburne County","AL","Alabama","Muscadine"
"36271","Calhoun County","AL","Alabama","Ohatchee"
